AADT,Latitude,Longitude,yn,Divided,LaneCount,DGAC,Latex,SMA,PCCP,Age,Friction,Macro,IRI,Gradient,Curvature,LatitudeGPS,LongitudeGps,Crash,lnAADT
11000,37.53634175,-77.42684853,1,1,2,1,0,0,0,6,35.01127639,0.480625,3.8120625,1.564375,0.000575,37.53642748,-77.42673627,23,9.305650552
43000,37.50268217,-77.64074421,1,1,2,1,0,0,0,6,27.52941459,0.40125,2.07425,3.631875,0.00028125,37.50263084,-77.64079704,21,10.66895539
57000,37.50017678,-77.53152346,1,1,3,1,0,0,0,3,44.69932821,0.7525,1.6886875,-0.2275,0.000325,37.5001512,-77.53152384,25,10.95080655
43000,37.5044904,-77.61902418,1,1,2,1,0,0,0,6,40.1590531,0.532727273,1.943090909,2.727272727,0.000572727,37.50439089,-77.61881985,25,10.66895539
57000,37.50093863,-77.52781,1,1,3,1,0,0,0,3,41.96557102,0.85875,2.2009375,-0.959375,0.00024375,37.50079773,-77.52792761,22,10.95080655
52000,37.50533268,-77.61200737,1,1,2,1,0,0,0,6,32.10166347,0.6075,1.61275,-0.16125,0.000225,37.50528293,-77.61193138,20,10.858999
57000,37.50063828,-77.53054067,1,1,3,1,0,0,0,8,41.48596449,0.86,3.704,0.344,0.0003,37.50062981,-77.53043516,24,10.95080655
52000,37.49515915,-77.55700506,1,1,3,1,0,0,0,7,36.89772873,0.67,2.262125,1.20875,0.0013125,37.49531377,-77.55681874,24,10.858999
4600,37.57402432,-77.45956111,1,1,3,1,0,0,0,4,45.59459373,0.774375,1.175125,2.033125,0.00121875,37.57383811,-77.45953973,28,8.433811582
13000,37.5451584,-77.44088487,1,1,3,1,0,0,0,8,40.79852847,0.579230769,4.159923077,0.190769231,0.000361538,37.54514493,-77.44095409,22,9.472704636
43000,37.5044904,-77.61902418,1,1,2,1,0,0,0,6,31.39824056,0.595294118,2.110647059,-1.018235294,0.000317647,37.50464502,-77.61917439,19,10.66895539
52000,37.49745933,-77.54621139,1,1,3,1,0,0,0,7,36.13035829,0.7825,1.1525625,0.71375,0.000225,37.49741565,-77.54621907,20,10.858999
77000,37.6491013,-77.59930548,1,1,3,1,0,0,0,4,45.21090851,0.819230769,1.883846154,1.301538462,0.000130769,37.6490909,-77.59925948,22,11.2515607
57000,37.49775497,-77.54444997,0,1,3,1,0,0,0,7,41.24616123,0.765625,1.1294375,-0.025625,0.0002375,37.497812,-77.54447248,26,10.95080655
25000,37.60850631,-77.51817318,1,1,3,1,0,0,0,4,43.64419386,0.695625,1.4818125,1.410625,0.00021875,37.60845657,-77.51809123,21,10.1266311
25000,37.60967325,-77.51887794,1,1,3,1,0,0,0,4,42.46116443,0.9225,2.9935625,2.505625,0.000675,37.60974439,-77.5188866,20,10.1266311
57000,37.4995332,-77.53570408,1,1,3,1,0,0,0,8,37.85694178,0.945,2.1665,1.53875,0.00021875,37.49966798,-77.53569584,19,10.95080655
11000,37.64721557,-77.58801485,1,1,3,1,0,0,0,3,46.36196417,0.968,2.7986,-0.402,0.00062,37.64739095,-77.58789098,24,9.305650552
4600,37.57307062,-77.45799664,1,1,3,1,0,0,0,4,46.96946577,0.87375,1.489875,0.51875,0.0002625,37.57310716,-77.4579626,22,8.433811582
23000,37.57062629,-77.44479675,1,1,2,1,0,0,0,11,35.7146993,0.370833333,4.652916667,0.636666667,0.000175,37.57068898,-77.44484274,18,10.04324949
34000,37.50370402,-77.65133553,1,1,2,1,0,0,0,5,29.95942099,0.66125,1.189875,0.30125,0.0002625,37.50366038,-77.65147813,16,10.4341158
11000,37.53820205,-77.4296281,1,1,2,1,0,0,0,8,44.5074856,0.967647059,9.505117647,8.311764706,0.0005,37.53820857,-77.42944099,24,9.305650552
17000,37.30655318,-77.40874275,1,0,4,1,0,0,0,5,46.42591171,0.53,1.251176471,-1.851176471,0.000194118,37.30657387,-77.40893715,23,9.740968623
35000,37.54790803,-77.44788906,1,1,3,1,0,0,0,11,45.99426583,1.041875,12.899375,0.40875,0.0006625,37.54792957,-77.4478963,25,10.46310334
30000,37.63030097,-77.53538749,1,1,3,1,0,0,0,3,45.37077735,1.02,2.8485,2.589,0.00078,37.63011988,-77.53540633,20,10.30895266
144000,37.5415733,-77.42718869,1,1,3,0,0,1,0,6,40.19102687,0.830625,1.523125,-1.2475,0.00034375,37.54158478,-77.42717156,37,11.87756858
162000,37.57725562,-77.46482925,1,1,3,1,0,0,0,4,47.91269194,0.969375,1.646,0.845625,0.00018125,37.57713275,-77.46484392,19,11.99535161
45000,37.50228749,-77.52169763,1,0,3,1,0,0,0,8,35.39496161,0.741666667,2.849833333,2.079166667,0.000308333,37.50223813,-77.52158996,18,10.71441777
102000,37.55218286,-77.42769834,0,1,1,1,0,0,0,3,51.38184581,0.7675,2.3990625,2.0275,0.00015625,37.55209215,-77.42768763,34,11.53272809
24000,37.36759158,-77.41728554,1,0,4,1,0,0,0,4,39.90326296,0.52875,2.641875,0.95,0.0002625,37.36770738,-77.41725446,18,10.08580911
19000,37.50318476,-77.44676833,1,1,3,1,0,0,0,11,55.95409469,0.3825,3.458333333,0.960833333,0.000508333,37.50305874,-77.44673054,23,9.852194258
155000,37.57636725,-77.46347543,0,1,3,1,0,0,0,4,50.40664587,0.88125,1.426125,0.591875,0.00040625,37.5762216,-77.46343942,26,11.9511804
34000,37.50510332,-77.65848383,1,1,2,1,0,0,0,5,36.99365003,0.627058824,1.066941176,0.825294118,0.000264706,37.50531132,-77.65845786,16,10.4341158
57000,37.49932735,-77.53746012,1,1,3,1,0,0,0,8,37.0256238,0.84,2.422,1.400625,0.0002875,37.49934523,-77.53746143,17,10.95080655
155000,37.57515879,-77.46196641,0,1,3,1,0,0,0,4,51.46178023,1.022352941,1.743058824,0.195294118,0.000382353,37.57522401,-77.46209597,25,11.9511804
155000,37.55800665,-77.45085191,0,1,3,1,0,0,0,4,49.3674984,0.800625,2.2885,-1.56,0.00056875,37.55799149,-77.45081368,28,11.9511804
43000,37.50338398,-77.62810153,1,1,2,1,0,0,0,6,43.93195777,0.600625,1.919875,-3.406875,0.00016875,37.50346922,-77.62810135,22,10.66895539
155000,37.5727569,-77.45781269,0,1,3,1,0,0,0,4,51.98934741,1.03875,1.558375,-0.3475,0.00015625,37.572729,-77.45764771,24,11.9511804
43000,37.50242771,-77.64232539,1,1,2,1,0,0,0,5,35.29904031,0.518125,1.2200625,-1.00375,0.00036875,37.50236846,-77.64234419,16,10.66895539
57000,37.50114847,-77.52615092,1,1,3,1,0,0,0,3,44.63538068,0.879375,2.4393125,-0.6575,0.00025625,37.50112404,-77.52615905,18,10.95080655
63000,37.49853617,-77.5697067,1,1,3,1,0,0,0,3,38.68825976,0.655,1.8515625,-0.615,0.0008,37.49854754,-77.56964243,17,11.05089001
28000,37.54238606,-77.44918698,1,1,3,1,0,0,0,7,43.89998401,0.8075,4.7534375,-0.628125,0.00059375,37.54251454,-77.44922362,21,10.23995979
145000,37.53633876,-77.42952567,1,1,3,0,0,1,0,6,40.09510557,0.745,1.8117,2.46,0.00119,37.53633269,-77.42949668,39,11.88448902
16000,37.66497991,-77.66064915,1,1,2,0,1,0,0,3,50.35868522,0.77375,1.605625,2.16875,0.00049375,37.66503231,-77.66062159,20,9.680344001
106000,37.5234241,-77.42816493,1,1,3,1,0,0,0,4,44.65136756,0.615,1.222,-2.065,0.0002,37.52355194,-77.42805244,37,11.57119437
25000,37.60321038,-77.51500827,1,1,3,1,0,0,0,4,42.97274472,0.788125,1.1985,0.274375,0.0002375,37.6032157,-77.5150957,17,10.1266311
19000,37.61370203,-77.52105523,1,1,3,1,0,0,0,12,45.08301344,0.744,2.596,3.404,0.00043,37.61372274,-77.5209631,20,9.852194258
152000,37.59680721,-77.48878122,1,1,4,1,0,0,0,12,44.69932821,0.83625,0.9808125,2.49625,0.00063125,37.5967875,-77.48879234,21,11.9316358
25000,37.60189923,-77.51477411,1,1,3,1,0,0,0,4,45.80242322,0.832857143,1.568,1.595714286,0.000307143,37.60180041,-77.51478634,18,10.1266311
77000,37.65045262,-77.60749916,1,1,3,1,0,0,0,4,43.38840371,0.2925,1.632,0.7075,0.00030625,37.65039545,-77.60757082,18,11.2515607
40000,37.63280058,-77.54072209,1,1,2,0,1,0,0,6,44.09182662,0.7775,2.3974375,-1.080625,0.00055625,37.63267003,-77.5407957,17,10.59663473
52000,37.50688607,-77.59582953,1,1,2,0,1,0,0,6,38.08075816,0.49875,2.01425,1.07125,0.000225,37.50695922,-77.59569383,14,10.858999
